Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName,
88998,PARAFUSO CHIPBOARD CH C/200PC BELENUS CHIPCH5.0,12,5,2,MEZANINO-O-043,
89047,COLA ADESIVO 200 GR AMAZONAS AM02,0,1,2,MEZANINO-G-001,
89967,EIXO PLANTE+ DQ74873,12,6,2,MEZANINO-I-005,
90092,CHICOTE ADAPTER MAG100 P/MAG X SOLINFTEC EPT001106,0,6,2,MEZANINO-H-054,
90269,ROLAMENTO CONICO AS FERSA 30204,12,12,2,MEZANINO-O-023,
90280,TINTA SPRAY VERDE STARA FRASCO 300ML COLORGIN 0386,12,60,2,MEZANINO-I-003,
90875,MONT CAIXA CONTROLE MF MPL001000009,12,1,2,MEZANINO-H-059,
90940,CONEXAO RAPIDA QS-10 FESTO 153034,12,40,2,MEZANINO-C-043,
91243,PARAFUSO SEXTAVADO 20X80MM RI 12.9 MB,12,5,2,MEZANINO-N-019,
91662,LUMINARIA INDUSTRIAL LED HIGH BAY UFO 150W BRANCO FRIO TGX 14557,12,13,2,MEZANINO-E-061,
91797,TRILHO P/ DISJUNTOR,1,1,2,MEZANINO-U-002,
92187,TERMINAL CONECTOR ELETRICO JD 57M8135,12,1,2,MEZANINO-B-049,
92499,PREGO TELHEIRO 18X27 GERDAU 117000087,3,20,2,MEZANINO-A-056,
92965,TRAVA TAMPA DO FILTRO JD RE308184,12,1,2,MEZANINO-P-022,
93198,PARAFUSO SEXT 10.9 M16X130 STARA  9100-2343,12,20,2,MEZANINO-G-019,
93757,DOBRADICA BOCA LOBO 4X1 4X3 4,12,1,2,MEZANINO-K-062,
95216,VEDACAO JD H224110,12,10,2,MEZANINO-P-014,
95827,VELA IGNICAO NGK BP7ES,12,2,2,MEZANINO-N-026,
95832,TAMPA FENDT 20070013,12,20,2,MEZANINO-H-013,
96143,CONEXAO AEROQUIP 16711-20-20 ZF,12,20,2,MEZANINO-U-031,
96722,PINO STARA 6344-1874,12,40,604,MEZANINO-O-048,
96758,ESTICADOR GANCHO X OLHAL 5/8 CARBOSTORM,12,4,2,MEZANINO-G-059,
96780,"VALVULA ESFERA 1.1/2"" DOCOL 00474906",12,1,604,MEZANINO-Z8-051,
97057,OLEO CHAIN LUB SPRAY MOBIL 20151510A050 200ML,12,98,604,MEZANINO-O-001,
97512,REGULADOR VOLTAGEM MAHLE MGX1295,12,42,2,MEZANINO-B-056,
