Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
10520,PALHETA BOSCH 3397010045,15,1,604,Vazio
10602,RODA CIVEMASA 4181459,12,3,604,Vazio
10822,ANEL JACTO 994863,12,2,604,1
10873,SOLENOIDE JACTO 265207,12,2,604,1
10951,TAMPA MARCHESAN 0521019178,12,100,604,137
10952,PORTA MARCHESAN 051101192,12,100,604,137
10953,EIXO MARCHESAN 0521017654,12,40,604,137
10954,EIXO MARCHESAN 0521017655,12,100,604,137
10955,LIMPADOR MARCHESAN 0501017542,12,90,604,137
10956,LIMPADOR MARCHESAN 0501017541,12,97,604,137
11000,PORCA MARCHESAN 0521013510,12,10,604,137
11278,BICO MARCHESAN 0502070061,12,59,604,137
11281,ENGRENAGEM MARCHESAN 0511063267,12,7,604,137
11295,ENGRENAGEM MARCHESAN 0511061830,12,10,604,137
11305,CONDUTOR MARCHESAN 0503030392,12,1,604,137
11886,COMPLEMENTO JUMIL 0427545,12,5,604,CONTAINER-01
12010,SUPORTE JUMIL 2734791,12,1,604,CONTAINER-02
12030,MANCAL JUMIL 2731785,12,35,604,CONTAINER-01
12063,CONE MARCHESAN 0511061668,12,5,604,137
12134,EIXO MARCHESAN 0521010530,12,59,604,137
12135,ENGRENAGEM MARCHESAN 0502012028,12,65,604,137
12197,ENGRENAGEM MARCHESAN 0511063268,12,10,604,137
12235,CILINDRO JUMIL 2738747,12,3,604,CONTAINER-01
12292,REPARO VEDACAO JACTO 623660,14,1,604,1
12299,GRAMPO MARCHESAN 0521014021,12,6,604,137
12374,SUPORTE JUMIL 2738561,12,10,604,CONTAINER-01
12400,MANGUEIRA JACTO 088385,12,1,604,1
12420,RETENTOR JACTO 180323,12,5,604,1
12462,GARRA JUMIL 1732633,12,4,604,CONTAINER-02
12465,BRACO JUMIL 2735995,12,5,604,CONTAINER-02
12470,SUPORTE JUMIL 0427171,12,11,604,CONTAINER-02
12841,CANECA ELEVADOR TC 10 CWA,12,21,604,7559
12881,REPARO VEDACAO JACTO 091454,12,2,604,1
13042,ALCA JACTO 981407,13,1,604,1
13122,CHICOTE JACTO 841403,12,1,604,1
13514,PINO MARCHESAN 0503011373,12,39,604,137
13764,BRACO JUMIL 2733385,12,4,604,CONTAINER-01
